;Feature;lag_window;value
14;a_BAL_SEPA_AAshFeeder\PVx10_mean;0_54;0.31860778
15;a_BAL_SEPA_Feed_RH_mean;0_54;0.299947243
3;a_BAL_SEPA_AMinBlwr\PressX10_mean;36_0;0.238388787
1;a_BAL_SEPA_ACarBlwr\PressX10_mean;108_0;0.195614261
4;a_BAL_SEPA_AMinPump\Ampsx10_mean;66_6;0.187353514
16;a_BAL_SEPA_feed_Temp_mean;0_0;0.171054158
5;a_BAL_SEPA_A_HV_Neg_kV_PV_mean;0_54;0.169866576
2;a_BAL_SEPA_ACarPump\Ampsx10_mean;18_0;0.157184904
11;a_BAL_SEPA_a_Speed_PV_mean;0_0;0.142390691
6;a_BAL_SEPA_A_HV_Neg_mA_PV_mean;54_0;0.128303247
8;a_BAL_SEPA_A_HV_Pos_mA_PV_mean;54_0;0.114688977
7;a_BAL_SEPA_A_HV_Pos_kV_PV_mean;54_24;0.100178694
9;a_BAL_SEPA_AmbientTemp_mean;0_0;0.069314089
10;a_BAL_SEPA_A_Belt_Gap_mean;0_0;0.058766827
